,train,val,test
0,TCGA-2A-A8VL-01A-02-TS2.AFBBB2D5-39E6-434A-B6E5-779DD8217DCD,TCGA-2A-A8W1-01A-01-TS1.91B29B87-640B-492F-93CA-4CDB89D06C52,TCGA-2A-AAYU-01A-01-TSA.98BA12F2-611D-4EB0-81E6-859C4221AB55
1,TCGA-2A-A8VL-01Z-00-DX1.2C2BD6EF-EC17-4117-AE89-A22B67AFB233,TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0,TCGA-2A-AAYU-01Z-00-DX1.F3FFE8F2-86B0-4552-A369-15DBB9C3B035
2,TCGA-2A-A8VO-01A-01-TSA.F8393D57-1CEB-4543-AC91-78098DD4D266,TCGA-CH-5738-01A-01-TS1.8ab47b68-e420-431a-b810-83867777c04d,TCGA-CH-5741-01A-01-TS1.84192b00-7524-43d9-bfc5-f884e185ffb4
3,TCGA-2A-A8VO-01Z-00-DX1.3A69CC37-B066-4529-B1BE-AD155983AAA7,TCGA-CH-5738-01Z-00-DX1.fcb841b3-9257-48a4-b175-26df4227b0ce,TCGA-CH-5741-01Z-00-DX1.521619ea-bb1f-4bbf-8dff-1d69b6b45d08
4,TCGA-2A-A8VT-01A-01-TS1.7AD592ED-2D74-4907-BBC5-6D8510A1AEF4,TCGA-CH-5738-01A-01-BS1.c9128315-cc85-4785-99b1-e28aa602d529,TCGA-CH-5741-01A-01-BS1.63c4d759-741a-47a0-9040-a1005dbf4c5a
5,TCGA-2A-A8VT-01Z-00-DX1.F2CD9AAB-7B40-46A4-832B-1279A8A77737,TCGA-CH-5767-01Z-00-DX1.5a8d8c09-2837-4981-9c43-defa67d2a3fc,TCGA-EJ-5495-01A-01-TS1.6a9fb9eb-1a0f-44d9-bade-326e7d9397ea
6,TCGA-2A-A8VV-01Z-00-DX1.DD094519-863E-42EF-8B36-F52418265E3E,TCGA-CH-5767-01A-01-BS1.79efa197-a70e-4181-bc97-b5ba1724907e,TCGA-EJ-5495-01A-01-BS1.64c2f5c8-36bf-4d76-808f-55c3a3d6e4c6
7,TCGA-2A-A8VV-01A-01-TS1.A68F239E-AE29-4CEB-BEC5-251465B5AB08,TCGA-CH-5767-01A-01-TS1.87f2b2fc-72bd-4666-9939-07f3590d7d6f,TCGA-EJ-5495-01Z-00-DX1.0db6207b-4cc6-463c-8b9e-6bd6f67b7b62
8,TCGA-2A-A8VX-01Z-00-DX1.2A244F16-C24E-4CE9-8820-9E36B5441EC7,TCGA-CH-5768-01A-01-TS1.d1d680c3-c16b-4481-a597-e617608469c0,TCGA-EJ-5497-01A-01-BS1.67223212-ff32-4ecc-8058-5bd593ce537b
9,TCGA-2A-A8VX-01A-01-TSA.E697DF9D-58CF-468C-AF29-A26F44757653,TCGA-CH-5768-01Z-00-DX1.4c6626ea-a1fb-4aca-8970-a40035025174,TCGA-EJ-5497-01Z-00-DX1.59c034ce-0c62-4b41-bd14-5e50d1584ae0
10,TCGA-2A-A8W3-01Z-00-DX1.CC00522F-8A47-4C63-B9CC-F215F9EAAFBA,TCGA-CH-5768-01A-01-BS1.df7eb299-50bb-4512-b7f4-e42c6ee6ae44,TCGA-EJ-5498-01Z-00-DX1.e3398f7f-d032-41b5-8736-485db658eba6
11,TCGA-2A-A8W3-01A-01-TS1.B6A39AB4-9AFD-4141-80A1-D35A34CEA308,TCGA-CH-5769-01A-01-BS1.3218f632-e6a5-4d08-9cdf-c5a834925b3e,TCGA-EJ-5498-01A-01-TS1.ae2af454-7d09-434c-9519-1ee78ac7fbb4
12,TCGA-2A-AAYF-01A-01-TS1.D1950A66-4200-4AA6-AC22-5753398182DF,TCGA-CH-5769-01Z-00-DX1.cd4fbd94-7698-43e6-92e7-d6f52888de6a,TCGA-EJ-5498-01A-01-BS1.e0fd958f-f3b3-4675-8147-051fb3bd3a80
13,TCGA-2A-AAYF-01Z-00-DX1.D0ADEB9A-37A4-451C-B91C-4AB014A6857A,TCGA-CH-5769-01A-01-TS1.7b56e75b-9098-4afb-8bfc-acf74ff72f77,TCGA-EJ-5507-01A-01-TS1.ccdb7781-d4a9-4a19-9d4f-cac6c6fdb822
14,TCGA-2A-AAYO-01Z-00-DX1.A5BB3437-956A-4A42-AC28-1217B8016970,TCGA-CH-5771-01A-01-BS1.f6b5c355-7658-463f-b664-21933958b6e7,TCGA-EJ-5507-01Z-00-DX1.6f3f7e05-a6f7-4450-a4bb-a4ee76859d17
15,TCGA-2A-AAYO-01A-01-TS1.0E6D0F65-C497-4902-961C-382D15736673,TCGA-EJ-5524-01A-01-BS1.73d6db26-69bd-4b03-97ba-13ab553501ec,TCGA-EJ-5507-01A-01-BS1.65df7f61-20c3-487a-b8a4-67b2b85aa9fa
16,TCGA-4L-AA1F-01A-01-TS1.A9CC88BC-25E5-4659-9516-601403819306,TCGA-EJ-5524-01A-01-TS1.4edfd1db-4a08-44d7-8305-3cc4e294ccee,TCGA-EJ-5511-01A-01-TS1.1ed25e1f-9e1b-4897-8535-e963f949acfc
