,train,val,test
0,TCGA-2A-A8VL-01A-02-TS2.AFBBB2D5-39E6-434A-B6E5-779DD8217DCD,TCGA-2A-AAYO-01Z-00-DX1.A5BB3437-956A-4A42-AC28-1217B8016970,TCGA-2A-AAYU-01A-01-TSA.98BA12F2-611D-4EB0-81E6-859C4221AB55
1,TCGA-2A-A8VL-01Z-00-DX1.2C2BD6EF-EC17-4117-AE89-A22B67AFB233,TCGA-2A-AAYO-01A-01-TS1.0E6D0F65-C497-4902-961C-382D15736673,TCGA-2A-AAYU-01Z-00-DX1.F3FFE8F2-86B0-4552-A369-15DBB9C3B035
2,TCGA-2A-A8VO-01A-01-TSA.F8393D57-1CEB-4543-AC91-78098DD4D266,TCGA-4L-AA1F-01A-01-TS1.A9CC88BC-25E5-4659-9516-601403819306,TCGA-CH-5740-01Z-00-DX1.cf299b59-b69b-4ab3-b7ad-85eaca24e641
3,TCGA-2A-A8VO-01Z-00-DX1.3A69CC37-B066-4529-B1BE-AD155983AAA7,TCGA-4L-AA1F-01Z-00-DX1.D793A68B-6E98-477B-8C29-4347939C97CF,TCGA-CH-5741-01Z-00-DX1.521619ea-bb1f-4bbf-8dff-1d69b6b45d08
4,TCGA-2A-A8VT-01A-01-TS1.7AD592ED-2D74-4907-BBC5-6D8510A1AEF4,TCGA-CH-5745-01Z-00-DX1.49835389-232e-4c7f-8550-1501b402d698,TCGA-CH-5748-01Z-00-DX1.032202f2-70c0-4115-99ff-1cecf4042e07
5,TCGA-2A-A8VT-01Z-00-DX1.F2CD9AAB-7B40-46A4-832B-1279A8A77737,TCGA-CH-5750-01Z-00-DX1.88db9d82-82c0-44b7-87b2-6e3bcdfb58ad,TCGA-EJ-5506-01Z-00-DX1.9d0714eb-b01a-482e-b077-76f92b3a5e3f
6,TCGA-2A-A8VV-01Z-00-DX1.DD094519-863E-42EF-8B36-F52418265E3E,TCGA-CH-5764-01Z-00-DX1.153078f9-e6c0-48f4-af0a-5a6eb83082e7,TCGA-EJ-5514-01Z-00-DX1.82b0677b-fb3c-45ec-82ca-d90000d8aaf2
7,TCGA-2A-A8VV-01A-01-TS1.A68F239E-AE29-4CEB-BEC5-251465B5AB08,TCGA-EJ-5494-01Z-00-DX1.f466c17c-4671-45e0-aca9-0ceeec2c0280,TCGA-EJ-5542-01Z-00-DX1.84ef2f6d-29d7-4d36-96b4-14bd30742016
8,TCGA-2A-A8VX-01Z-00-DX1.2A244F16-C24E-4CE9-8820-9E36B5441EC7,TCGA-EJ-5517-01Z-00-DX1.7df66a54-404a-4b7d-a316-4ae6383c3afd,TCGA-EJ-7783-01Z-00-DX1.83158713-8e94-40b8-96e1-ae9e105e3804
9,TCGA-2A-A8VX-01A-01-TSA.E697DF9D-58CF-468C-AF29-A26F44757653,TCGA-EJ-5526-01Z-00-DX1.70486c91-c1cd-4478-8c90-b103dacda0ae,TCGA-EJ-7783-01A-01-BS1.dbad8dce-d564-4202-a47f-82797a65bf63
10,TCGA-2A-A8W1-01A-01-TS1.91B29B87-640B-492F-93CA-4CDB89D06C52,TCGA-EJ-7115-01Z-00-DX1.c603df66-3411-44b4-9e54-32bacd57b426,TCGA-EJ-7783-01A-01-TS1.0c598fde-c65f-4b24-9e66-8ba509fe1a1f
11,TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0,TCGA-EJ-7318-01B-01-TSA.CABC240E-3ADB-420D-89A2-1D98FBBE818E,TCGA-EJ-7788-01A-01-TS1.a8d7f3db-eb04-41e1-a385-ce67add31d40
