,train,val,test
0,TCGA-2A-A8VO-01A-01-TSA.F8393D57-1CEB-4543-AC91-78098DD4D266,TCGA-CH-5741-01A-01-TS1.84192b00-7524-43d9-bfc5-f884e185ffb4,TCGA-2A-A8VL-01A-02-TS2.AFBBB2D5-39E6-434A-B6E5-779DD8217DCD
1,TCGA-2A-A8VO-01Z-00-DX1.3A69CC37-B066-4529-B1BE-AD155983AAA7,TCGA-CH-5741-01Z-00-DX1.521619ea-bb1f-4bbf-8dff-1d69b6b45d08,TCGA-2A-A8VL-01Z-00-DX1.2C2BD6EF-EC17-4117-AE89-A22B67AFB233
2,TCGA-2A-A8VT-01A-01-TS1.7AD592ED-2D74-4907-BBC5-6D8510A1AEF4,TCGA-CH-5741-01A-01-BS1.63c4d759-741a-47a0-9040-a1005dbf4c5a,TCGA-2A-A8W1-01A-01-TS1.91B29B87-640B-492F-93CA-4CDB89D06C52
3,TCGA-2A-A8VT-01Z-00-DX1.F2CD9AAB-7B40-46A4-832B-1279A8A77737,TCGA-CH-5772-01A-01-BS1.f02d86c3-b8bf-4750-b37b-75ad1b5c92fe,TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0
4,TCGA-2A-A8VV-01Z-00-DX1.DD094519-863E-42EF-8B36-F52418265E3E,TCGA-CH-5772-01A-01-TS1.fbbd25a3-14a6-4a8b-a5e2-0fe124b56cf6,TCGA-CH-5748-01A-01-TS1.481e4b06-2a69-449c-bf4e-543e5f8c98e0
5,TCGA-2A-A8VV-01A-01-TS1.A68F239E-AE29-4CEB-BEC5-251465B5AB08,TCGA-EJ-5507-01A-01-TS1.ccdb7781-d4a9-4a19-9d4f-cac6c6fdb822,TCGA-CH-5748-01A-01-BS1.2ed7b5fd-f971-405d-a191-68fbc5464da0
6,TCGA-2A-A8VX-01Z-00-DX1.2A244F16-C24E-4CE9-8820-9E36B5441EC7,TCGA-EJ-5507-01Z-00-DX1.6f3f7e05-a6f7-4450-a4bb-a4ee76859d17,TCGA-CH-5748-01Z-00-DX1.032202f2-70c0-4115-99ff-1cecf4042e07
7,TCGA-2A-A8VX-01A-01-TSA.E697DF9D-58CF-468C-AF29-A26F44757653,TCGA-EJ-5507-01A-01-BS1.65df7f61-20c3-487a-b8a4-67b2b85aa9fa,TCGA-CH-5750-01A-01-BS1.6851987a-ac23-412e-9cd4-30ecde3cf982
8,TCGA-2A-A8W3-01Z-00-DX1.CC00522F-8A47-4C63-B9CC-F215F9EAAFBA,TCGA-EJ-5517-01A-01-TS1.98be291f-b3da-4779-bf54-73aaf9a80f54,TCGA-CH-5750-01A-01-TS1.f18271cd-defa-4088-9335-9f341b969e5a
9,TCGA-2A-A8W3-01A-01-TS1.B6A39AB4-9AFD-4141-80A1-D35A34CEA308,TCGA-EJ-5517-01A-01-BS1.c05564bc-2b03-4751-bea4-fe8bf8298a1d,TCGA-CH-5750-01Z-00-DX1.88db9d82-82c0-44b7-87b2-6e3bcdfb58ad
